"reg_no","title_front","name","surname","title_back","PIN","city"
4938,"Mgr.","Jiøí","Linhart","",65043570,"Èeské Budìjovice"
5480,"JUDr.","Stanislav","Vopelka","",63866781,"Èeské Budìjovice"
7230,"JUDr.","Vladimír","Císaø","",66226414,"Èeské Budìjovice"
7265,"JUDr.","Vojtìch","Filip","",66226422,"Èeské Budìjovice"
7418,"JUDr.","Marie","Valúchová","",66226490,"Èeské Budìjovice"
7527,"JUDr.","Zdenìk","Staš","",48242985,"Èeské Budìjovice"
7578,"JUDr.","Vojtìch","Augustin","",66226392,"Èeské Budìjovice"
7800,"JUDr.","Karel","Škopek","",12936502,"Èeské Budìjovice"
7834,"Mgr.","František","Maroušek","",18316531,"Èeské Budìjovice"
7849,"Mgr.","Šárka","Petráòová","",60848791,"Èeské Budìjovice"
8099,"Mgr.","Libor","Nádravskı","",62538039,"Èeské Budìjovice"
8104,"JUDr. Ing.","Zdenìk","Solaø","Lic.iur., Ph.D.",66233551,"Èeské Budìjovice"
8153,"JUDr.","Hana","Bayerová","",66233470,"Èeské Budìjovice"
8338,"JUDr.","Stanislav","Mikyška","",66234921,"Èeské Budìjovice"
8398,"JUDr.","Irena","Chmelíková","",46624201,"Èeské Budìjovice"
8459,"JUDr.","Kateøina","Soukupová","",65007158,"Èeské Budìjovice"
8482,"Mgr.","Libor","Zemanec","",66234981,"Èeské Budìjovice"
8497,"JUDr.","Iva","Mihulová","",12909696,"Èeské Budìjovice"
8605,"","Ján","Czop","",62507818,"Èeské Budìjovice"
8792,"Mgr.","Zita","Poláková","",66248353,"Èeské Budìjovice"
8938,"JUDr.","Zdenìk","Drtina","Ph.D.",66246971,"Èeské Budìjovice"
8948,"Mgr.","Marie","Kakašèíková","",66247012,"Èeské Budìjovice"
9058,"Mgr.","Jitka","Bednáøová","",66249431,"Èeské Budìjovice"
9060,"JUDr.","Zdeòka","Lustová","",66249449,"Èeské Budìjovice"
9064,"Mgr.","Martin","Capl","",66249481,"Èeské Budìjovice"
9201,"Mgr.","Petr","Smejkal","",66250528,"Èeské Budìjovice"
9208,"Mgr.","Petr","Wölfl","",66250595,"Èeské Budìjovice"
9214,"Mgr.","Lucie","Slabá","",66250102,"Èeské Budìjovice"
9239,"Mgr. Ing.","Daniel","Krajèo","",66250757,"Èeské Budìjovice"
9285,"Mgr.","Kateøina","Bílá","",66251273,"Èeské Budìjovice"
9289,"JUDr.","Vlastimil","Hájek","",66251303,"Èeské Budìjovice"
9319,"Mgr.","Ondøej","Janoušek","",66251524,"Èeské Budìjovice"
9352,"JUDr.","Petr","Neubauer","",66251826,"Èeské Budìjovice"
9365,"JUDr.","Josef","Frydrych","",65979281,"Èeské Budìjovice"
9438,"JUDr. Ing.","Tomáš","Bouzek","",66252415,"Èeské Budìjovice"
9444,"Mgr.","Jiøí","Jarušek","",66252466,"Èeské Budìjovice"
9531,"JUDr.","Pavlína","Pomijová","",66253233,"Èeské Budìjovice"
9583,"Mgr.","Pavel","Slabı","",45016054,"Èeské Budìjovice"
